NAME_BT,NAME1,BRAND1,NAME2,BRAND2,NAME3,BRAND3,NAME4,BRAND4
,AV,,,,,,,
,AMAZON FIRE T,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
STANMORE III(D2),TV IN WOONKAME,,BOSE TV SPKR,,LG CHANNELS,,,
,HDMI 2,,,,,,,
,CHROMECAST,,HDMI 2,,HDMI 3,,,
,SKY Q,SKY Q(SOUTH),HT-S40R,PS5,FIRE TV STICK,,,
,HDMI 1,,,,,,,
,BLU-RAY PLAYER,,,,,,,
,AMAZON FIRETV,AMAZON,,,,,,
,FIRE TV CUBE,BT TV,HDMI 3,,,,,
,AV,,,,,,,
,XBOX,XBOX,,,,,,
JBL TUNE560BT(F7),POLSAT BOX 4KL,,,,,,,
ACTON III(E1),,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,AUDIO SYSTEM,SHARP,,,,,,
,MAGENTATV ONE,DEUTSCHE TELEKOM,,,,,,
,HDMI 3,,,,,,,
,LG S90TY,LG,,,,,,
LG SQC2(CC),HDMI 3,,,,,,,
,HDMI 1,,ORANGE DEKODER,ORANGE,,,,
,PS4 CONSOLA DE JUEGOS,PS4,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,HDMI 2,,,,,
,HDMI 4,,,,,,,
,AV,,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,SKY Q(SOUTH EAST) SET-TOP BOX,SKY Q(SOUTH EAST),HDMI 4,,,
,AMAZON FIRE?T,AMAZON,,,,,,
,AMAZON FIRE T,,,,,,,
,DIGITURK SET 횥ST횥 KUTU,DIGITURK,,,,,,
,APPLE TV,APPLE,,,,,,
STR-DH190(D1),HDMI 4,,,,,,,
,HDMI 1,,,,,,,
,PLAYSTATION 5,PS5,JBL BAR 5.1,JBL,POLSAT BOX 4K,POLSAT BOX,,
AIWA KBTUS-710(AC),HDMI 2,,HDMI 4,,,,,
,DVD,PIONEER,,,,,,
,APPLE TV,APPLE,,,,,,
JBL TOUR ONE(52),,,,,,,,
ANKER A7908(45),,,,,,,,
JBL LIVE FLEX 3(CE),,,,,,,,
AIRPODS PRO (SP횁NYIK) - FIND M(BE),TELECOM,,,,,,,
WH-CH720N(F0),LG S70TY,LG,,,,,,
,TELIA TV,TELIA,,,,,,
,FIRE TV STICK,,,,,,,
,HDMI 1,,,,,,,
,MAGENTATV,,HDMI 4,,,,,
,SKY Q SET-TOP BOX,SKY Q,PLAYSTATION 5,PS5,,,,
,HDMI 1,,,,,,,
,PORTUGAL TELECOM BOX,PORTUGAL TELECOM,,,,,,
,LG S90TY,LG,,,,,,
,HDMI 2,,,,,,,
VARDAGSRUM AUDIO PRO A38(1B),,,AUDIOPRO_A38,AUDIO PRO,,,,
,FIRE TV STICK,,,,,,,
,HDMI 3,,,,,,,
,HDMI 1,,,,,,,
,,KPN,,,,,,
,KPN DECODER,KPN,,,,,,
,UMA,,,,,,,
,LG DS70TR,LG,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,VODAFONE TV,VODAFONE,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,VODAFONE ????廓????????課?誇 SET-TOP BOX,VODAFONE,VODAFONE ????廓????????課?誇 SET-TOP BOX,VODAFONE,,,,
,DECODIFICADOR,,PLAYSTATION 5,PS5,,,,
,HDMI 1,,HDMI 2,,LG SOUND BAR,LG,,
,AV RECEIVER,PIONEER,HD+,,,,,
,MAGYAR TELEKOM SET-TOP BOX,MAGYAR TELEKOM,,,,,,
,HDMI 3,,,,,,,
,BD PLAYER,LG,,,,,,
,SKY Q,SKY Q,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,DECODEUR TV 6,ORANGE FIBRE OPTIQUE,,,,,,
,HDMI 4,,,,,,,
H10(37),PC,,,,,,,
,LG CHANNELS,,,,,,,
LG_SPEAKER_DS80TR_9001(57),,,,,,,,
,HDMI 1,,,,,,,
